m112,m122,m222,lam1,lam2,lam3,lam4,lam5,mu,yt,gp,g,nvev1,nvev2,nvev3,cbvev1,cbvev2,cbvev3
-65207.71038679763,-22856.28107475293,-45374.00223726002,2.542185633062964,0.9700405073672489,1.6167518019212521,0.8219150662390557,0.7157037782153459,246,1.5474489325075855,0.3497,0.652954,120.8352685703389,-243.28405768817942,469300697593054e-26,182.9901803119625,-162.0943789056901,36.27199675618516
-117932.65018969431,-220.1658757527458,-102898.24759855689,4.390345762495093,3.264415497823851,3.8178531780684626,0.6099519049922553,-0.5851612101185455,246,1.0334422593424797,0.3497,0.652954,-66.85309181625189,236.74176673035038,12199543300825728e-29,137.94144881136725,-129.9538918867039,-137.2359933044942
-11600.248217538985,225.67825163095767,-4954.9840239218875,0.5661536158955536,0.03438468396934069,0.24315431978022753,1.593745706490953,-1.448892154975275,246,1.1230029430583366,0.3497,0.652954,-6.655192607844492,-349.57022436579894,8464170965313525e-29,60.363686793979916,52.3306043308641,199.4741475854722
-274972.0849721127,-24.01671509735954,-286674.24575984274,7.805745082327043,8.56079656082551,7.078011570276248,0.6849462329209315,-0.28947280691145005,246,3.036350470568577,0.3497,0.652954,0.19057384338623046,-263.3769469439869,-7198274613843557e-27,-0.909672271319416,114.36917324370404,220.48115867760916
-92261.20804221563,245.7155845843472,-98124.2420953632,3.0194706600085075,2.946069189128686,2.959268151341515,1.9906252881140512,-1.8898915764019777,246,1.757898880520365,0.3497,0.652954,-17.680243121947864,-249.53946538828095,-7765374990247581e-29,-26.802452808236424,-181.2848182958529,167.76352753195332
-29306.11060675579,-667.2039098250588,-27908.758735624193,0.9997461519312274,0.7707176967398263,0.9308340383757128,0.6249005722797403,-0.5090867318554909,246,1.235139948198164,0.3497,0.652954,44.57440502269623,-252.08032660551385,-8608654643646807e-29,173.13874077486238,-68.3855844938455,-163.02643047458258
-82000.147899731,-38608.33087340447,-101325.55950619388,2.487244786048126,3.32960310669024,2.936899677761468,3.5125199703765233,-0.9042415968279389,246,1.716019114778243,0.3497,0.652954,145.7347564053904,-192.0437888397204,-6568171299713518e-28,185.85012077630924,-152.3221922815255,50.24465347814053
-41225.50649420571,6039.323629730232,-50554.64492392209,1.25580584597075,1.5796847784938788,1.439096452792125,0.2805789198580318,0.21230366739789966,246,1.4754662970033703,0.3497,0.652954,-115.80037581333548,-215.66742325801596,-7709071473010223e-25,144.8753228877968,172.85731934253891,-106.94914731370547
-35922.98578436511,71.66478404438385,-29335.919438291487,1.4280836602232427,0.8134296365146851,1.1266147733161818,0.1363922556998181,-0.1283675423437316,246,1.1687149744125507,0.3497,0.652954,29.475807140685617,255.45864346196757,-471779446750215e-25,-178.57055496886588,-120.91447639990841,-91.16745543905924
-26869.14648610639,-173.44621293379763,-90413.97518048389,0.6813286884589769,5.5242298057849295,1.9796677136445266,3.4979514927166697,-3.4650887581518433,246,2.7564275333308275,0.3497,0.652954,-39.474910882022016,166.23288057540913,-18770614453973402e-26,126.3204907836211,-94.41388161266866,-185.92363996382753
-122075.30827077343,1194.7080308415898,-129632.10913328652,3.786292410723359,4.115759702917346,3.9764000457762316,0.9651609809377817,-0.8823829391652052,246,1.1791383292889621,0.3497,0.652954,132.15166960579847,207.48960508997976,-7420032305224041e-26,157.68584250381994,177.23024558307395,69.7225740647343
